time,altitude,apoapsis,periapsis,speed,pitch,throttle,mass,dynamic_pressure
181.77,112526.24,150620.26,-510619.73,1053.34,21.494354248046875,0.0,190779.61,0.0
182.78,113150.57,150620.26,-510619.73,1049.25,21.530914306640625,0.0,190779.61,0.0
183.79,113744.85,150620.26,-510619.73,1045.35,21.5513916015625,0.0,190779.61,0.0
184.8,114346.4,150620.26,-510619.73,1041.39,21.558746337890625,0.0,190779.61,0.0
185.8,114930.67,150620.26,-510619.73,1037.54,21.554412841796875,0.0,190779.61,0.0
186.82,115522.01,150620.26,-510619.73,1033.63,21.54010009765625,0.0,190779.61,0.0
187.83,116120.11,150620.26,-510619.73,1029.67,21.5174560546875,0.0,190779.61,0.0
188.84,116701.06,150620.26,-510619.73,1025.81,21.48956298828125,0.0,190779.61,0.0
189.85,117276.88,150620.26,-510619.73,1021.98,21.45855712890625,0.0,190779.61,0.0
190.87,117812.79,150620.26,-510619.73,1018.41,21.428192138671875,0.0,190779.61,0.0
191.89,118378.68,150620.26,-510619.73,1014.63,21.398651123046875,0.0,190779.61,0.0
192.9,118962.24,150620.26,-510619.73,1010.73,21.37139892578125,0.0,190779.61,0.0
193.92,119483.85,150620.26,-510619.73,1007.23,21.352386474609375,0.0,190779.61,0.0
194.92,119956.17,150620.26,-510619.73,1004.06,21.3411865234375,0.0,190779.61,0.0
195.93,120513.59,150620.26,-510619.73,1000.3,21.336883544921875,0.0,190779.61,0.0
196.95,121043.72,150620.26,-510619.73,996.73,21.343780517578125,0.0,190779.61,0.0
197.97,121590.77,150620.26,-510619.73,993.03,21.36279296875,0.0,190779.61,0.0
199.0,122089.39,150620.26,-510619.73,989.65,21.392486572265625,0.0,190779.61,0.0
200.0,122636.98,150620.26,-510619.73,985.93,21.43914794921875,0.0,190779.61,0.0
201.04,123147.36,150620.26,-510619.73,982.46,21.49658203125,0.0,190779.61,0.0
202.05,123652.89,150620.26,-510619.73,979.01,21.56683349609375,0.0,190779.61,0.0
203.08,124153.57,150620.26,-510619.73,975.59,21.649322509765625,0.0,190779.61,0.0
204.09,124669.98,150620.26,-510619.73,972.06,21.74957275390625,0.0,190779.61,0.0
205.14,125150.61,150620.26,-510619.73,968.76,21.8499755859375,0.0,190779.61,0.0
206.15,125636.7,150620.26,-510619.73,965.42,21.9635009765625,0.0,190779.61,0.0
207.15,126137.92,150620.26,-510619.73,961.96,22.089752197265625,0.0,190779.61,0.0
208.17,126633.91,150620.26,-510619.73,958.54,22.2222900390625,0.0,190779.61,0.0
209.18,127114.92,150620.26,-510619.73,955.21,22.356292724609375,0.0,190779.61,0.0
210.19,127542.58,150620.26,-510619.73,952.24,22.478546142578125,0.0,190779.61,0.0
211.2,127956.63,150620.26,-510619.73,949.36,22.59832763671875,0.0,190779.61,0.0
212.21,128433.24,150620.26,-510619.73,946.05,22.736328125,0.0,190779.61,0.0
213.23,128885.9,150620.26,-510619.73,942.89,22.865753173828125,0.0,190779.61,0.0
214.25,129343.05,150620.26,-510619.73,939.69,22.993072509765625,0.0,190779.61,0.0
215.27,129776.87,150620.26,-510619.73,936.65,23.109222412109375,0.0,190779.61,0.0
216.29,130233.35,150620.26,-510619.73,933.45,23.225006103515625,0.0,190779.61,0.0
217.29,130675.68,150620.26,-510619.73,930.34,23.329559326171875,0.0,190779.61,0.0
218.31,131121.92,150620.26,-510619.73,927.19,23.4261474609375,0.0,190779.61,0.0
219.32,131536.68,150620.26,-510619.73,924.26,23.507049560546875,0.0,190779.61,0.0
220.34,131981.59,150620.26,-510619.73,921.11,23.583709716796875,0.0,190779.61,0.0
221.35,132395.42,150620.26,-510619.73,918.17,23.64501953125,0.0,190779.61,0.0
222.35,132821.45,150620.26,-510619.73,915.14,23.698028564453125,0.0,190779.61,0.0
223.37,133242.34,150620.26,-510619.73,912.14,23.740325927734375,0.0,190779.61,0.0
224.38,133658.09,150620.26,-510619.73,909.17,23.7725830078125,0.0,190779.61,0.0
